Date,S&P500 Price,S&P500 Return,Dow Jones Price,Dow Jones Return
2016-10-03,2161.2,1.5256247352816603,18253.8496,1.4632907984952848
2016-10-04,2150.49,1.5180643795002118,18168.4492,1.4564448113612711
2016-10-05,2159.73,1.524587039390089,18281.0293,1.465469615883802
2016-10-06,2160.77,1.5253211915854865,18268.5,1.4644652244922138
2016-10-07,2153.74,1.5203586051108287,18240.4902,1.4622198634584682
2016-10-10,2163.6599,1.5273612169984472,18329.0391,1.469318245083508
2016-10-11,2136.73,1.5083509812226459,18128.6602,1.4532551895085015
2016-10-12,2139.1799,1.5100804037837077,18144.1992,1.4545008487100444
2016-10-13,2132.55,1.5054002541296063,18098.9395,1.450872676899499
2016-10-14,2132.98,1.5057037978257801,18138.3809,1.454034433951544
2016-10-17,2126.5,1.501129464915996,18086.4004,1.4498674999065093
2016-10-18,2139.6001,1.5103770295072712,18161.9395,1.4559229716222737
2016-10-19,2144.29,1.5136877029507272,18202.6191,1.4591839870064733
2016-10-20,2141.3401,1.5116053226034167,18162.3496,1.4559558466360167
2016-10-21,2141.1599,1.5114781166172528,18145.7109,1.4546220317343683
2016-10-24,2151.3301,1.5186574191726672,18223.0293,1.4608201382025174
2016-10-25,2143.1599,1.5128899477622477,18169.2695,1.456510569405098
2016-10-26,2139.4299,1.5102568826768321,18199.3301,1.4589203295565811
2016-10-27,2133.04,1.50574615276013,18169.6797,1.456543452435182
2016-10-28,2126.4099,1.5010658619229142,18161.1895,1.4558628490660501
2016-10-31,2126.1499,1.5008823238740647,18142.4199,1.4543582139576599
2016-11-01,2111.72,1.4906960327544825,18037.0996,1.4459153797466908
2016-11-02,2097.9399,1.4809684455739094,17959.6406,1.439706002303335
2016-11-03,2088.6599,1.4744175490611324,17930.6699,1.437383612250556
2016-11-04,2085.1799,1.471960962868841,17888.2793,1.4339854372747582
2016-11-07,2131.52,1.5046731610899338,18259.5996,1.4637517380929983
2016-11-08,2139.5601,1.5103487928843713,18332.7402,1.4696149378739598
2016-11-09,2163.26,1.5270789213610054,18589.6895,1.4902128695217478
2016-11-10,2167.48,1.5300578850769448,18807.8809,1.5077038358070625
2016-11-11,2164.45,1.5279189608922772,18847.6602,1.5108926800747715
2016-11-14,2164.2,1.527742481999153,18868.6895,1.512578460436893
2016-11-15,2180.3899,1.539171184526331,18923.0605,1.516937025109464
2016-11-16,2176.9399,1.5367357758012141,18868.1406,1.5125344587420781
2016-11-17,2187.1201,1.5439221375123537,18903.8203,1.5153946651011287
2016-11-18,2181.8999,1.540237117040802,18867.9297,1.5125175522792682
2016-11-21,2198.1799,1.5517294225610618,18956.6895,1.519632840367118
2016-11-22,2202.9399,1.55508958068615,19023.8691,1.5250181860712149
2016-11-23,2204.72,1.5563461809967527,19083.1797,1.529772725915415
2016-11-25,2213.3501,1.562438302978964,19152.1406,1.5353008666987131
2016-11-28,2201.72,1.55422843427926,19097.9004,1.5309527873999473
2016-11-29,2204.6599,1.5563037554708459,19121.5996,1.5328525960458839
2016-11-30,2198.8101,1.55217429055485,19123.5801,1.533011359676018
2016-12-01,2191.0801,1.5467175631794439,19191.9297,1.5384904965678237
2016-12-02,2191.95,1.5473316391359593,19170.4199,1.5367661976880151
2016-12-05,2204.71,1.5563391218410279,19216.2402,1.5404393091052524
2016-12-06,2212.23,1.5616476069462093,19251.7793,1.543288244489096
2016-12-07,2241.3501,1.5822039390088947,19549.6191,1.5671640979838943
2016-12-08,2246.1899,1.585620429196668,19614.8105,1.5723900627996132
2016-12-09,2259.53,1.5950374135253427,19756.8496,1.5837764011671953
2016-12-12,2256.96,1.5932232105040238,19796.4297,1.5869492768839715
2016-12-13,2271.72,1.6036425243540873,19911.2109,1.5961505290845068
2016-12-14,2253.28,1.5906254411972331,19792.5293,1.5866366075262457
